ID	ALIGNMENT	COGIDS	COGNACY	CONCEPT	CONCEPTICON	DOCULECT	FORM	GLOTTOLOG	LANGUAGE_NAME	LATITUDE	LONGITUDE	PARAMETER_ID	TOKENS	VALUE	NOTE	COGID	MORPHEMES
794	dʑ ɨː	1248	None	name	1405	HtanHsan	ʥɨː	None	Htan Hsan	22.675133	97.289942	51_name	dʑ ɨː	ʥɨː			
795	tɕ ɨː	1248	None	name	1405	PangKham	ʨɨː	None	Pangkham	22.672097	97.161167	51_name	tɕ ɨː	ʨɨː			
796	tɕ ɨː	1248	None	name	1405	ManLoi	ʨɨː	None	Man Loi	22.636019	97.139264	51_name	tɕ ɨː	ʨɨː			
797	tɕ ɨː	1248	None	name	1405	MengDan	ʨɨː	khan1274	Meng Dan	24.296522	98.379886	51_name	tɕ ɨː	ʨɨː			
798	tɕ ɨː	1248	None	name	1405	ChuDongGua	ʨɨː	None	Chu Dong Gua	24.330889	98.393125	51_name	tɕ ɨː	ʨɨː			
799	tɕ ɨː	1248	None	name	1405	XiangZhaiTang	ʨɨː	ruma1248	Xiang Zhai Tang	24.323819	98.556639	51_name	tɕ ɨː	ʨɨː			
800	tɕ ɨː	1248	None	name	1405	PongNuea	ʨɨː	None	Pong Nuea	20.321525	99.866817	51_name	tɕ ɨː	ʨɨː			
801	c ɨ	1248	None	name	1405	NyaungGone	cɨ	None	Nyaung Gone	20.635025	96.545772	51_name	c ɨ	cɨ			
802	c ɨ	1248	None	name	1405	NoeLae	cɨ	None	Noe Lae	19.941803	99.044742	51_name	c ɨ	cɨ			
803	c ɨ	1248	None	name	1405	BanPaw	cɨ	None	Ban Paw	21.311225	99.557550	51_name	c ɨ	cɨ			
804	dʑ ɨː	1248	None	name	1405	ChaYeQing	ʥɨː	None	Cha Ye Qing	24.305717	98.463661	51_name	dʑ ɨː	ʥɨː			
805	dʑ ɨː	1248	None	name	1405	MangBang	ʥɨː	ruma1248	Mang Bang	24.416392	98.399078	51_name	dʑ ɨː	ʥɨː			
806	tɕ ɨː	1248	None	name	1405	NanSang	ʨɨː	ruma1248	Nan Sang	24.019728	97.819736	51_name	tɕ ɨː	ʨɨː			
807	r a + d eː ŋ	1511 1509	None	road, path	2457	NamHsan	radeːŋ	None	Namhsan	22.965064	97.163239	52_roadpath	r a + d eː ŋ	radeːŋ			
808	r a + d eː ŋ	1511 1509	None	road, path	2457	KhunHawt	rade:ŋ	None	Khun Hawt	22.965064	97.163239	52_roadpath	r a + d eː ŋ	rade:ŋ			
809	dʱ eː ŋ	1509	None	road, path	2457	HtanHsan	d̤eːŋ	None	Htan Hsan	22.675133	97.289942	52_roadpath	dʱ eː ŋ	d̤eːŋ			
810	Ø/ə n + t eː ŋ	1508 1509	None	road, path	2457	PangKham	nteːŋ	None	Pangkham	22.672097	97.161167	52_roadpath	Ø/ə n + t eː ŋ	nteːŋ			
811	Ø/ə n + t eː ŋ	1508 1509	None	road, path	2457	ManLoi	nteːŋ	None	Man Loi	22.636019	97.139264	52_roadpath	Ø/ə n + t eː ŋ	nteːŋ			
812	d e ŋ + d aː ŋ	1509 1510	None	road, path	2457	ChuDongGua	deŋ daːŋ	None	Chu Dong Gua	24.330889	98.393125	52_roadpath	d e ŋ + d aː ŋ	deŋ daːŋ			
813	Ø/ə n + t eː n	1508 1509	None	road, path	2457	XiangZhaiTang	nteːn	ruma1248	Xiang Zhai Tang	24.323819	98.556639	52_roadpath	Ø/ə n + t eː n	nteːn			
814	Ø/ə n + t eː ɲ	1508 1509	None	road, path	2457	PongNuea	nteːɲ	None	Pong Nuea	20.321525	99.866817	52_roadpath	Ø/ə n + t eː ɲ	nteːɲ			
815	Ø/ə n + t e n	1508 1509	None	road, path	2457	NyaungGone	n ten	None	Nyaung Gone	20.635025	96.545772	52_roadpath	Ø/ə n + t e n	n ten			
816	Ø/ə n + t e ɲ	1508 1509	None	road, path	2457	NoeLae	n teɲ	None	Noe Lae	19.941803	99.044742	52_roadpath	Ø/ə n + t e ɲ	n teɲ			
817	Ø/ə n + t e ɲ	1508 1509	None	road, path	2457	BanPaw	n teɲ	None	Ban Paw	21.311225	99.557550	52_roadpath	Ø/ə n + t e ɲ	n teɲ			
818	Ø/ə n + d ɔː n	1265 1509	None	road, path	2457	ChaYeQing	ndɔːn	None	Cha Ye Qing	24.305717	98.463661	52_roadpath	Ø/ə n + d ɔː n	ndɔːn			_-:prefix/n ?
819	Ø/ə n + d ɔː n	1508 1509	None	road, path	2457	GuangKa	ndɔːn	ruma1248	Guang Ka	24.065714	97.796281	52_roadpath	Ø/ə n + d ɔː n	ndɔːn			
820	Ø/ə n + d ɔː n	1508 1509	None	road, path	2457	MangBang	ndɔːn	ruma1248	Mang Bang	24.416392	98.399078	52_roadpath	Ø/ə n + d ɔː n	ndɔːn			
821	Ø/ə n + d ɔ n	1508 1509	None	road, path	2457	NanSang	n dɔn	ruma1248	Nan Sang	24.019728	97.819736	52_roadpath	Ø/ə n + d ɔ n	n dɔn			
822	dʑ ɨ ŋ	1652	None	sew	1457	NamHsan	ʥɨŋ	None	Namhsan	22.965064	97.163239	53_sew	dʑ ɨ ŋ	ʥɨŋ			
823	dʑ e ɲ	1652	None	sew	1457	KhunHawt	ʥeɲ	None	Khun Hawt	22.965064	97.163239	53_sew	dʑ e ɲ	ʥeɲ			
824	dʑ i ɲ	1652	None	sew	1457	HtanHsan	ʥiɲ	None	Htan Hsan	22.675133	97.289942	53_sew	dʑ i ɲ	ʥiɲ			
825	tɕ i ŋ	1652	None	sew	1457	PangKham	ʨiŋ	None	Pangkham	22.672097	97.161167	53_sew	tɕ i ŋ	ʨiŋ			
826	tɕ i n	1652	None	sew	1457	ManLoi	ʨin	None	Man Loi	22.636019	97.139264	53_sew	tɕ i n	ʨin			
827	tɕ i ŋ	1652	None	sew	1457	MengDan	ʨiŋ	khan1274	Meng Dan	24.296522	98.379886	53_sew	tɕ i ŋ	ʨiŋ			
828	dʑ i ŋ	1652	None	sew	1457	ChuDongGua	ʥiŋ	None	Chu Dong Gua	24.330889	98.393125	53_sew	dʑ i ŋ	ʥiŋ			
829	tɕ i ɲ	1652	None	sew	1457	XiangZhaiTang	ʨiɲ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	53_sew	tɕ i ɲ	ʨiɲ			
830	tɕ i ɲ	1652	None	sew	1457	PongNuea	ʨiɲ	None	Pong Nuea	20.321525	99.866817	53_sew	tɕ i ɲ	ʨiɲ			
831	c i n	1652	None	sew	1457	NyaungGone	cin	None	Nyaung Gone	20.635025	96.545772	53_sew	c i n	cin			
832	c i ɲ	1652	None	sew	1457	NoeLae	ciɲ	None	Noe Lae	19.941803	99.044742	53_sew	c i ɲ	ciɲ			
833	c i n	1652	None	sew	1457	BanPaw	cin	None	Ban Paw	21.311225	99.557550	53_sew	c i n	cin			
834	dʑ e n	1652	None	sew	1457	ChaYeQing	ʥen	None	Cha Ye Qing	24.305717	98.463661	53_sew	dʑ e n	ʥen			
835	k a + dʑ ə n	1062 1652	None	sew	1457	GuangKa	kaʥən	ruma1248	Guang Ka	24.065714	97.796281	53_sew	k a + dʑ ə n	kaʥən			_-:suffix/ka ?
836	dʑ ə n	1652	None	sew	1457	MangBang	ʥən	ruma1248	Mang Bang	24.416392	98.399078	53_sew	dʑ ə n	ʥən			
837	dʑ ə n	1652	None	sew	1457	NanSang	ʥən	ruma1248	Nan Sang	24.019728	97.819736	53_sew	dʑ ə n	ʥən			
838	ŋ a r	576	None	fire	221	NamHsan	ŋar	None	Namhsan	22.965064	97.163239	54_fire	ŋ a r	ŋar			
839	ŋ a r	576	None	fire	221	KhunHawt	ŋar	None	Khun Hawt	22.965064	97.163239	54_fire	ŋ a r	ŋar			
840	ŋ a l	576	None	fire	221	HtanHsan	ŋal	None	Htan Hsan	22.675133	97.289942	54_fire	ŋ a l	ŋal			fire
841	ŋ ɔː -	576	None	fire	221	PangKham	ŋɔː	None	Pangkham	22.672097	97.161167	54_fire	ŋ ɔː	ŋɔː			
842	ŋ ɔː -	576	None	fire	221	ManLoi	ŋɔː	None	Man Loi	22.636019	97.139264	54_fire	ŋ ɔː	ŋɔː			
843	ŋ a l	576	None	fire	221	MengDan	ŋal	khan1274	Meng Dan	24.296522	98.379886	54_fire	ŋ a l	ŋal			
844	ŋ ɔ r	576	None	fire	221	ChuDongGua	ŋɔr	None	Chu Dong Gua	24.330889	98.393125	54_fire	ŋ ɔ r	ŋɔr			
845	ŋ ɔː -	576	None	fire	221	XiangZhaiTang	ŋɔː	ruma1248	Xiang Zhai Tang	24.323819	98.556639	54_fire	ŋ ɔː	ŋɔː			
846	ŋ ɔː -	576	None	fire	221	PongNuea	ŋɔː	None	Pong Nuea	20.321525	99.866817	54_fire	ŋ ɔː	ŋɔː			
847	ŋ ɔ -	576	None	fire	221	NyaungGone	ŋɔ	None	Nyaung Gone	20.635025	96.545772	54_fire	ŋ ɔ	ŋɔ			
848	ŋ ɔ -	576	None	fire	221	NoeLae	ŋɔ	None	Noe Lae	19.941803	99.044742	54_fire	ŋ ɔ	ŋɔ			
849	ŋ ɔ -	576	None	fire	221	BanPaw	ŋɔ	None	Ban Paw	21.311225	99.557550	54_fire	ŋ ɔ	ŋɔ			fire
850	ŋ ai̯ -	576	None	fire	221	ChaYeQing	ŋaj	None	Cha Ye Qing	24.305717	98.463661	54_fire	ŋ ai̯	ŋaj			
851	ŋ ai̯ -	576	None	fire	221	GuangKa	ŋaj	ruma1248	Guang Ka	24.065714	97.796281	54_fire	ŋ ai̯	ŋaj			
852	ŋ ai̯ -	576	None	fire	221	MangBang	ŋaj	ruma1248	Mang Bang	24.416392	98.399078	54_fire	ŋ ai̯	ŋaj			
853	ŋ ai̯ ʔ	576	None	fire	221	NanSang	ŋaiɁ	ruma1248	Nan Sang	24.019728	97.819736	54_fire	ŋ ai̯ ʔ	ŋaiɁ			
854	k a + f aː ŋ	36 37	None	ashes	646	NamHsan	kafaːŋ	None	Namhsan	22.965064	97.163239	55_ashes	k a + f aː ŋ	kafaːŋ			
855	k a + f aː ŋ	1027 37	None	ashes	646	KhunHawt	kafaːŋ	None	Khun Hawt	22.965064	97.163239	55_ashes	k a + f aː ŋ	kafaːŋ			_-:sufix/ka ?
856	k a + f aː ŋ	1027 37	None	ashes	646	HtanHsan	kafaːŋ	None	Htan Hsan	22.675133	97.289942	55_ashes	k a + f aː ŋ	kafaːŋ			_-:suffix/ka ?
857	k a + f aː ŋ	36 37	None	ashes	646	PangKham	kafaːŋ	None	Pangkham	22.672097	97.161167	55_ashes	k a + f aː ŋ	kafaːŋ			
858	k a + f aː ŋ	36 37	None	ashes	646	ManLoi	kafaːŋ	None	Man Loi	22.636019	97.139264	55_ashes	k a + f aː ŋ	kafaːŋ			
859	k ə + f ɛː ŋ	36 37	None	ashes	646	MengDan	kəfɛːŋ	khan1274	Meng Dan	24.296522	98.379886	55_ashes	k ə + f ɛː ŋ	kəfɛːŋ			
860	k a + f aː ŋ	1062 37	None	ashes	646	ChuDongGua	kafaːŋ	None	Chu Dong Gua	24.330889	98.393125	55_ashes	k a + f aː ŋ	kafaːŋ			_-:suffix/ka ?
861	k a + f aː ŋ	36 37	None	ashes	646	XiangZhaiTang	kafaːŋ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	55_ashes	k a + f aː ŋ	kafaːŋ			
862	b r ɔ + ŋ ɔː	34 35	None	ashes	646	PongNuea	brɔŋɔː	None	Pong Nuea	20.321525	99.866817	55_ashes	b r ɔ + ŋ ɔː	brɔŋɔː			
863	b r ɔ + ŋ ɔ	34 35	None	ashes	646	NyaungGone	brɔ ŋɔ	None	Nyaung Gone	20.635025	96.545772	55_ashes	b r ɔ + ŋ ɔ	brɔ ŋɔ			
864	b r ɔ + ŋ ɔ	34 35	None	ashes	646	NoeLae	brɔ ŋɔ	None	Noe Lae	19.941803	99.044742	55_ashes	b r ɔ + ŋ ɔ	brɔ ŋɔ			
865	b r ɔ + ŋ ɔ	34 576	None	ashes	646	BanPaw	brɔ ŋɔ	None	Ban Paw	21.311225	99.557550	55_ashes	b r ɔ + ŋ ɔ	brɔ ŋɔ			 fire
866	k a + f aː ŋ	1062 37	None	ashes	646	ChaYeQing	kafaːŋ	None	Cha Ye Qing	24.305717	98.463661	55_ashes	k a + f aː ŋ	kafaːŋ			_-:prefix/ka ?
867	k a + f aː ŋ	1062 37	None	ashes	646	GuangKa	kafaːŋ	ruma1248	Guang Ka	24.065714	97.796281	55_ashes	k a + f aː ŋ	kafaːŋ			_-:suffix/ka ?
868	k a + f aː ŋ	36 37	None	ashes	646	MangBang	kafaːŋ	ruma1248	Mang Bang	24.416392	98.399078	55_ashes	k a + f aː ŋ	kafaːŋ			
869	k a + f aː ŋ	36 37	None	ashes	646	NanSang	kafaːŋ	ruma1248	Nan Sang	24.019728	97.819736	55_ashes	k a + f aː ŋ	kafaːŋ			
870	ɗ ɨ ʔ + ŋ a r	1738 1739	None	smoke	778	NamHsan	ɗɨʔŋar	None	Namhsan	22.965064	97.163239	56_smoke	ɗ ɨ ʔ + ŋ a r	ɗɨʔŋar			
871	ɗ ə k	1738	None	smoke	778	KhunHawt	ɗәk	None	Khun Hawt	22.965064	97.163239	56_smoke	ɗ ə k	ɗәk			
872	ɗ ə k + ŋ a l	1738 576	None	smoke	778	HtanHsan	ɗәkŋal	None	Htan Hsan	22.675133	97.289942	56_smoke	ɗ ə k + ŋ a l	ɗәkŋal			 fire
873	ɗ ɔ k + ŋ ɔː -	1738 1739	None	smoke	778	PangKham	ɗɔk ŋɔː	None	Pangkham	22.672097	97.161167	56_smoke	ɗ ɔ k + ŋ ɔː	ɗɔk ŋɔː			
874	ɗ a k	1738	None	smoke	778	ManLoi	ɗak	None	Man Loi	22.636019	97.139264	56_smoke	ɗ a k	ɗak			
875	ɗ ɔ ʔ	1738	None	smoke	778	MengDan	ɗɔʔ	khan1274	Meng Dan	24.296522	98.379886	56_smoke	ɗ ɔ ʔ	ɗɔʔ			
876	ɗ ɔː k	1738	None	smoke	778	ChuDongGua	ɗɔːk	None	Chu Dong Gua	24.330889	98.393125	56_smoke	ɗ ɔː k	ɗɔːk			
877	d a k	1738	None	smoke	778	XiangZhaiTang	dak	ruma1248	Xiang Zhai Tang	24.323819	98.556639	56_smoke	d a k	dak			
878	d a k	1738	None	smoke	778	PongNuea	dak	None	Pong Nuea	20.321525	99.866817	56_smoke	d a k	dak			
879	d ă k	1738	None	smoke	778	NyaungGone	dăk	None	Nyaung Gone	20.635025	96.545772	56_smoke	d ă k	dăk			
880	d ă k	1738	None	smoke	778	NoeLae	dăk	None	Noe Lae	19.941803	99.044742	56_smoke	d ă k	dăk			
881	d ă k	1738	None	smoke	778	BanPaw	dăk	None	Ban Paw	21.311225	99.557550	56_smoke	d ă k	dăk			
882	ɗ a k	1738	None	smoke	778	ChaYeQing	ɗak	None	Cha Ye Qing	24.305717	98.463661	56_smoke	ɗ a k	ɗak			
883	t a k	1738	None	smoke	778	GuangKa	tak	ruma1248	Guang Ka	24.065714	97.796281	56_smoke	t a k	tak			
884	t a k	1738	None	smoke	778	MangBang	tak	ruma1248	Mang Bang	24.416392	98.399078	56_smoke	t a k	tak			
885	t a k	1738	None	smoke	778	NanSang	tak	ruma1248	Nan Sang	24.019728	97.819736	56_smoke	t a k	tak			
886	kʰ r - i ʔ	1722	None	smell	1586	NamHsan	khriɁ	None	Namhsan	22.965064	97.163239	57_smell	kʰ r i ʔ	khriɁ			
887	k r u/w ə t	1722	None	smell	1586	KhunHawt	kruət	None	Khun Hawt	22.965064	97.163239	57_smell	k r u/w ə t	kruət	Probably problematic to align.		
888	kʰ r - ɨ ʔ	1722	None	smell	1586	HtanHsan	khrɨʔ	None	Htan Hsan	22.675133	97.289942	57_smell	kʰ r ɨ ʔ	khrɨʔ			
889	kʰ r - ɔː t	1722	None	smell	1586	PangKham	khrɔːt	None	Pangkham	22.672097	97.161167	57_smell	kʰ r ɔː t	khrɔːt			
890	kʰ r - i t	1722	None	smell	1586	ManLoi	khrit	None	Man Loi	22.636019	97.139264	57_smell	kʰ r i t	khrit			
891	ʔ ui̯ h	1721	None	smell	1586	MengDan	ʔujh	khan1274	Meng Dan	24.296522	98.379886	57_smell	ʔ ui̯ h	ʔujh			
892	ʔ ui̯ h	1721	None	smell	1586	ChuDongGua	ʔujh	None	Chu Dong Gua	24.330889	98.393125	57_smell	ʔ ui̯ h	ʔujh			
893	ʔ u - h	1721	None	smell	1586	XiangZhaiTang	Ɂuh	ruma1248	Xiang Zhai Tang	24.323819	98.556639	57_smell	ʔ u h	Ɂuh			
894	ɲ̊ ɔː - ʔ	1721	None	smell	1586	PongNuea	ɲ̥ɔːɁ	None	Pong Nuea	20.321525	99.866817	57_smell	ɲ̊ ɔː ʔ	ɲ̥ɔːɁ			
895	ɲ̊ ɔ - ʔ	1721	None	smell	1586	NyaungGone	ɲ̥ɔʔ	None	Nyaung Gone	20.635025	96.545772	57_smell	ɲ̊ ɔ ʔ	ɲ̥ɔʔ			
896	ɲ̊ ɔ - ʔ	1721	None	smell	1586	NoeLae	ɲ̥ɔɁ	None	Noe Lae	19.941803	99.044742	57_smell	ɲ̊ ɔ ʔ	ɲ̥ɔɁ			
897	ɲ̊ ɔ - ʔ	1721	None	smell	1586	BanPaw	ɲ̥ɔɁ	None	Ban Paw	21.311225	99.557550	57_smell	ɲ̊ ɔ ʔ	ɲ̥ɔɁ			
898	ʔ u - h	1721	None	smell	1586	ChaYeQing	ʔuh	None	Cha Ye Qing	24.305717	98.463661	57_smell	ʔ u h	ʔuh			
899	ɲ ɔi̯ - ʔ	1721	None	smell	1586	GuangKa	ɲɔjɁ	ruma1248	Guang Ka	24.065714	97.796281	57_smell	ɲ ɔi̯ ʔ	ɲɔjɁ			
900	ɲ ɔːi̯ ʔ	1721	None	smell	1586	MangBang	ɲɔːj?	ruma1248	Mang Bang	24.416392	98.399078	57_smell	ɲ ɔːi̯ ʔ	ɲɔːj?			
901	ɲ ɔi̯ - ʔ	1721	None	smell	1586	NanSang	ɲɔjɁ	ruma1248	Nan Sang	24.019728	97.819736	57_smell	ɲ ɔi̯ ʔ	ɲɔjɁ			
902	ŋ əː p	1637	None	see	1409	NamHsan	ŋәːp	None	Namhsan	22.965064	97.163239	58_see	ŋ əː p	ŋәːp			
903	dʑ əː - -	1636	None	see	1409	KhunHawt	ʥәː	None	Khun Hawt	22.965064	97.163239	58_see	dʑ əː	ʥәː			
904	j əː - -	1635	None	see	1409	HtanHsan	jəː	None	Htan Hsan	22.675133	97.289942	58_see	j əː	jəː			
905	dʑ ə - ɯ	1636	None	see	1409	PangKham	ʥәɯ	None	Pangkham	22.672097	97.161167	58_see	dʑ ə ɯ	ʥәɯ			
906	dʑ əː - -	1636	None	see	1409	ManLoi	ʥәː	None	Man Loi	22.636019	97.139264	58_see	dʑ əː	ʥәː			
907	dʑ ɨː - -	1636	None	see	1409	MengDan	ʥɨː	khan1274	Meng Dan	24.296522	98.379886	58_see	dʑ ɨː	ʥɨː			
908	j ɨː - -	1635	None	see	1409	ChuDongGua	jɨː	None	Chu Dong Gua	24.330889	98.393125	58_see	j ɨː	jɨː			
909	j əɯ̯	1635	None	see	1409	XiangZhaiTang	jəɯ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	58_see	j əɯ̯	jəɯ			
910	j əɯ̯	1635	None	see	1409	PongNuea	jəɯ	None	Pong Nuea	20.321525	99.866817	58_see	j əɯ̯	jəɯ			
911	j ə - -	1635	None	see	1409	NyaungGone	jə	None	Nyaung Gone	20.635025	96.545772	58_see	j ə	jə			
912	j ə - -	1635	None	see	1409	NoeLae	jə	None	Noe Lae	19.941803	99.044742	58_see	j ə	jə			
913	j ə - -	1635	None	see	1409	BanPaw	jə	None	Ban Paw	21.311225	99.557550	58_see	j ə	jə			
914	dʑ eː w -	1636	None	see	1409	ChaYeQing	ʥeːw	None	Cha Ye Qing	24.305717	98.463661	58_see	dʑ eː w	ʥeːw			
915	j eu̯	1635	None	see	1409	GuangKa	jew	ruma1248	Guang Ka	24.065714	97.796281	58_see	j eu̯	jew			
916	j eu̯	1635	None	see	1409	MangBang	jew	ruma1248	Mang Bang	24.416392	98.399078	58_see	j eu̯	jew			
917	j eu̯	1635	None	see	1409	NanSang	jew	ruma1248	Nan Sang	24.019728	97.819736	58_see	j eu̯	jew			
918	h ɔː m	442	None	eat	1336	NamHsan	hɔːm	None	Namhsan	22.965064	97.163239	59_eat	h ɔː m	hɔːm			
919	h ɔː m	442	None	eat	1336	KhunHawt	hɔːm	None	Khun Hawt	22.965064	97.163239	59_eat	h ɔː m	hɔːm			
920	h ɔ m	442	None	eat	1336	HtanHsan	hɔm	None	Htan Hsan	22.675133	97.289942	59_eat	h ɔ m	hɔm			
921	h ɔː m	442	None	eat	1336	PangKham	hɔːm	None	Pangkham	22.672097	97.161167	59_eat	h ɔː m	hɔːm			
922	h ɔː m	442	None	eat	1336	ManLoi	hɔːm	None	Man Loi	22.636019	97.139264	59_eat	h ɔː m	hɔːm			
923	h ɔː m	442	None	eat	1336	MengDan	hɔːm	khan1274	Meng Dan	24.296522	98.379886	59_eat	h ɔː m	hɔːm			
924	h oː m	442	None	eat	1336	ChuDongGua	hoːm	None	Chu Dong Gua	24.330889	98.393125	59_eat	h oː m	hoːm			
925	h oː m	442	None	eat	1336	XiangZhaiTang	hoːm	ruma1248	Xiang Zhai Tang	24.323819	98.556639	59_eat	h oː m	hoːm			
926	h oː m	442	None	eat	1336	PongNuea	hoːm	None	Pong Nuea	20.321525	99.866817	59_eat	h oː m	hoːm			
927	h o m	442	None	eat	1336	NyaungGone	hom	None	Nyaung Gone	20.635025	96.545772	59_eat	h o m	hom			
928	h o m	442	None	eat	1336	NoeLae	hom	None	Noe Lae	19.941803	99.044742	59_eat	h o m	hom			
929	h o m	442	None	eat	1336	BanPaw	hom	None	Ban Paw	21.311225	99.557550	59_eat	h o m	hom			
930	h oː m	442	None	eat	1336	ChaYeQing	hoːm	None	Cha Ye Qing	24.305717	98.463661	59_eat	h oː m	hoːm			
931	h oː m	442	None	eat	1336	GuangKa	hoːm	ruma1248	Guang Ka	24.065714	97.796281	59_eat	h oː m	hoːm			
932	h o m	442	None	eat	1336	MangBang	hom	ruma1248	Mang Bang	24.416392	98.399078	59_eat	h o m	hom			
933	h oː m	442	None	eat	1336	NanSang	hoːm	ruma1248	Nan Sang	24.019728	97.819736	59_eat	h oː m	hoːm			
934	ɗ i/j a ŋ	368	None	drink	1401	NamHsan	ɗiaŋ	None	Namhsan	22.965064	97.163239	60_drink	ɗ i/j a ŋ	ɗiaŋ			
935	t i/j a ŋ	368	None	drink	1401	KhunHawt	tiaŋ	None	Khun Hawt	22.965064	97.163239	60_drink	t i/j a ŋ	tiaŋ			
936	ɗ i/j a ŋ	368	None	drink	1401	HtanHsan	ɗiaŋ	None	Htan Hsan	22.675133	97.289942	60_drink	ɗ i/j a ŋ	ɗiaŋ			
937	ɗ i/j a ŋ	368	None	drink	1401	PangKham	ɗiaŋ	None	Pangkham	22.672097	97.161167	60_drink	ɗ i/j a ŋ	ɗiaŋ			
938	ɗ i/j a ŋ	368	None	drink	1401	ManLoi	ɗiaŋ	None	Man Loi	22.636019	97.139264	60_drink	ɗ i/j a ŋ	ɗiaŋ			
939	d i/j a ŋ	368	None	drink	1401	MengDan	diaŋ	khan1274	Meng Dan	24.296522	98.379886	60_drink	d i/j a ŋ	diaŋ			
940	d i/j a ŋ	368	None	drink	1401	ChuDongGua	diaŋ	None	Chu Dong Gua	24.330889	98.393125	60_drink	d i/j a ŋ	diaŋ			
941	d i/j a ŋ	368	None	drink	1401	XiangZhaiTang	diaŋ	ruma1248	Xiang Zhai Tang	24.323819	98.556639	60_drink	d i/j a ŋ	diaŋ			
942	d i/j a ŋ	368	None	drink	1401	PongNuea	diaŋ	None	Pong Nuea	20.321525	99.866817	60_drink	d i/j a ŋ	diaŋ			
943	d i/j a k	368	None	drink	1401	NyaungGone	diak	None	Nyaung Gone	20.635025	96.545772	60_drink	d i/j a k	diak			
944	d i/j a ŋ	368	None	drink	1401	NoeLae	diaŋ	None	Noe Lae	19.941803	99.044742	60_drink	d i/j a ŋ	diaŋ			
945	d i/j a ŋ	368	None	drink	1401	BanPaw	diaŋ	None	Ban Paw	21.311225	99.557550	60_drink	d i/j a ŋ	diaŋ			
946	tɕ - o ŋ	368	None	drink	1401	ChaYeQing	ʨoŋ	None	Cha Ye Qing	24.305717	98.463661	60_drink	tɕ o ŋ	ʨoŋ			
947	tɕ - o ŋ	368	None	drink	1401	GuangKa	ʨoŋ	ruma1248	Guang Ka	24.065714	97.796281	60_drink	tɕ o ŋ	ʨoŋ			
948	tɕ - o ŋ	368	None	drink	1401	MangBang	ʨoŋ	ruma1248	Mang Bang	24.416392	98.399078	60_drink	tɕ o ŋ	ʨoŋ			
949	tɕ - o ŋ	368	None	drink	1401	NanSang	ʨoŋ	ruma1248	Nan Sang	24.019728	97.819736	60_drink	tɕ o ŋ	ʨoŋ			
950	b ɛ ʔ	1778	None	spit	1440	NamHsan	bɛɁ	None	Namhsan	22.965064	97.163239	61_spit	b ɛ ʔ	bɛɁ			
951	b ai̯ c	1778	None	spit	1440	KhunHawt	baic	None	Khun Hawt	22.965064	97.163239	61_spit	b ai̯ c	baic			
952	b ai̯ c	1778	None	spit	1440	HtanHsan	baic	None	Htan Hsan	22.675133	97.289942	61_spit	b ai̯ c	baic			
953	p a ʔ	1778	None	spit	1440	PangKham	paɁ	None	Pangkham	22.672097	97.161167	61_spit	p a ʔ	paɁ			
954	p ai̯ ʔ + ɓ ai̯ ʔ	1778 1779	None	spit	1440	ManLoi	paiɁ ɓaiɁ	None	Man Loi	22.636019	97.139264	61_spit	p ai̯ ʔ + ɓ ai̯ ʔ	paiɁ ɓaiɁ			
955	p e ʔ	1778	None	spit	1440	MengDan	peʔ	khan1274	Meng Dan	24.296522	98.379886	61_spit	p e ʔ	peʔ			
956	b ɛ ʔ	1778	None	spit	1440	ChuDongGua	bɛ?	None	Chu Dong Gua	24.330889	98.393125	61_spit	b ɛ ʔ	bɛ?			
957	p e c	1778	None	spit	1440	XiangZhaiTang	pec	ruma1248	Xiang Zhai Tang	24.323819	98.556639	61_spit	p e c	pec			
958	p ai̯ c	1778	None	spit	1440	PongNuea	paic	None	Pong Nuea	20.321525	99.866817	61_spit	p ai̯ c	paic			
959	p ă t	1778	None	spit	1440	NyaungGone	păt	None	Nyaung Gone	20.635025	96.545772	61_spit	p ă t	păt			
960	p ă c	1778	None	spit	1440	NoeLae	păc	None	Noe Lae	19.941803	99.044742	61_spit	p ă c	păc			
961	p ă t	1778	None	spit	1440	BanPaw	păt	None	Ban Paw	21.311225	99.557550	61_spit	p ă t	păt			
962	b a t	1778	None	spit	1440	ChaYeQing	bat	None	Cha Ye Qing	24.305717	98.463661	61_spit	b a t	bat			
963	b a t	1778	None	spit	1440	GuangKa	bat	ruma1248	Guang Ka	24.065714	97.796281	61_spit	b a t	bat			
964	b a t	1778	None	spit	1440	MangBang	bat	ruma1248	Mang Bang	24.416392	98.399078	61_spit	b a t	bat			
965	b a t	1778	None	spit	1440	NanSang	bat	ruma1248	Nan Sang	24.019728	97.819736	61_spit	b a t	bat			
966	kʰ r i ʔ + pʰ əː m	6 4	None	breathe	1407	NamHsan	khriɁ phә:m	None	Namhsan	22.965064	97.163239	62_breathe	kʰ r i ʔ + pʰ əː m	khriɁ phә:m			 breathe/phem
967	k a + nʰ ɔ h + pʰ əː m	175 826 4	None	breathe	1407	KhunHawt	kanhɔh phә:m	None	Khun Hawt	22.965064	97.163239	62_breathe	k a + nʰ ɔ h + pʰ əː m	kanhɔh phә:m			_-:prefix/ka heart/noh breathe/phem
